DATASET,Index,WellID,Well Name,Loop,Channel,fps,version,HROI Change Intensity,Harmonic Intensity,Heart size,Intensity/Harmonic Intensity (top 5 %),Movement detection max,SNR,SNR Top 5%,Signal Intensity Top 5%,Signal intensity,Signal regional prominence,Stop frame,empty frames,Heartrate (BPM),ground truth,error
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,110,WE00042,D007,LO002,CO6,13,v1.3.1(feb22-region),332.1852995,114668.6774,5510,8.425570365,5619,0.50482422,0.841042231,966149,109417,0.837749546,130,0,96,95,1
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,89,WE00093,H004,LO001,CO6,13,v1.3.1(feb22-region),332.7747632,9885.108322,6229,53.56428877,4878,0.331692227,0.584268988,529489,71366,0.74586611,130,0,96,96.6,0.6
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,80,WE00082,G010,LO001,CO6,13,v1.3.1(feb22-region),333.9640561,40298.26581,6844,15.50041721,2613885,0.464285014,0.760187879,624640,82782,0.808883694,83,0,94,95.9,1.9
OMAR_13FPS_170829142203_Ol_GIGYF1_CCDC141_Temp_28C,57,WE00070,F003,LO001,CO6,13,v1.3.1(feb22-region),334.4363156,5455.398353,2269,23.73911296,3105719,0.306400051,0.575266602,129506,27268,0.679594535,116,0,168,170,2
F2_24FPS_210719170353_OlE_HR_IPF2_2x_BQ_28C,16,WE00016,B009,LO001,CO6,24,v1.3.1(feb22-region),334.5876289,155816.9898,1067,3.408773902,5914,0.563562391,0.880893727,531145,108213,0.811621368,240,0,150,149.9,0.1
F2_24FPS_210719181906_OlE_HR_IPF2_2x_BQ_35C,88,WE00088,H009,LO001,CO6,24,v1.3.1(feb22-region),334.6557261,1271.543422,5667,198.8808659,5426,0.472698928,0.672123064,252886,42814,0.972825128,240,0,240,242.1,2.1
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,110,WE00038,D011,LO002,CO6,13,v1.3.1(feb22-region),334.7097109,6778.320561,5777,63.89376296,4313,0.322084901,0.535492545,433092,67134,0.702613813,130,0,96,98,2
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,96,WE00024,B001,LO002,CO6,13,v1.3.1(feb22-region),335.3627303,22023.74122,6622,30.94216866,4696,0.412556474,0.75014952,681462,84219,0.830413772,130,0,102,101,1
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,139,WE00073,G001,LO002,CO6,13,v1.3.1(feb22-region),335.41257,15975.7936,4821,50.24412989,4940,0.416247531,0.708444639,802690,90764,0.865795478,130,0,96,97.5,1.5
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,122,WE00052,E004,LO002,CO6,13,v1.3.1(feb22-region),336.0293026,3922.864207,10238,61.83716789,6066,0.392523548,0.779575236,242579,32106,0.757374487,130,0,168,167.6,0.4
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,136,WE00064,F009,LO002,CO6,13,v1.3.1(feb22-region),336.8601016,106224.8539,5118,7.262540045,5640,0.457741587,0.83334428,771462,83897,0.865767878,130,0,96,95,1
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,74,WE00086,H011,LO001,CO6,13,v1.3.1(feb22-region),337.0117594,56385.08458,8844,9.543240507,8117,0.428292945,0.750135828,538096,72750,0.862618725,130,0,84,85,1
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,17,WE00029,C005,LO001,CO6,13,v1.3.1(feb22-region),337.3514212,32724.86249,3870,26.06766862,5154,0.481817502,0.894234567,853061,92657,0.892248062,130,0,96,96.7,0.7
F2_24FPS_210719181906_OlE_HR_IPF2_2x_BQ_35C,12,WE00012,A012,LO001,CO6,24,v1.3.1(feb22-region),337.6644093,2462.468264,2658,32.19344946,4422,0.453055683,0.725171761,79275,25814,0.993227991,240,0,216,NA,200
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,131,WE00064,F009,LO002,CO6,13,v1.3.1(feb22-region),337.6659661,44502.22853,7137,23.03074918,6756,0.475220962,0.86420407,1024920,106693,0.893652795,130,0,96,97.5,1.5
OMAR_13FPS_170814143625_Ol_SCN5A_NKX2_5_Temp_21C,60,WE00072,F001,LO001,CO6,13,v1.3.1(feb22-region),338.771231,95536.58033,7230,9.909493748,2894,0.552038318,0.889159536,946719,117201,0.915214385,130,0,108,107,1
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,45,WE00058,E010,LO001,CO6,13,v1.3.1(feb22-region),339.409454,23648.29392,12270,33.18559313,3469005,0.451063744,0.740605071,784783,114129,0.792257539,102,0,99,96.7,2.3
OMAR_13FPS_171223125746_Ol_SCN5A_OCA2_WT_28C,64,WE00064,F009,LO001,CO6,13,v1.3.1(feb22-region),339.4921163,5829.611159,6913,15.45751462,7509,0.258980086,0.459000883,90111,18654,0.720815854,130,0,180,176.9,3.1
F2_24FPS_210719155352_OlE_HR_IPF2_2x_BQ_21C,82,WE00082,G010,LO001,CO6,24,v1.3.1(feb22-region),339.5567251,229633.7234,1710,15.89895535,3709,0.503936669,0.781412237,3650936,421345,0.891812865,240,0,84,83.1,0.9
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,53,WE00066,F007,LO001,CO6,13,v1.3.1(feb22-region),339.7806834,5618.428084,2868,13.21443182,107033,0.359903297,0.586030722,74244,19994,0.900627615,122,0,173,175.7,2.7
F2_24FPS_210719170353_OlE_HR_IPF2_2x_BQ_28C,11,WE00011,A011,LO001,CO6,24,v1.3.1(feb22-region),339.8892054,4662.172652,3159,156.9590775,4049,0.515746508,0.758496352,731770,84281,0.988603989,240,0,156,157.2,1.2
OMAR_13FPS_170829142203_Ol_GIGYF1_CCDC141_Temp_28C,99,WE00029,C005,LO002,CO6,13,v1.3.1(feb22-region),340.0242645,3283.134737,7954,80.50089528,3339009,0.484199319,0.845753226,264295,39167,0.821473472,119,0,170,171,1
OMAR_13FPS_170814153204_Ol_SCN5A_NKX2_5_Temp_28C,47,WE00059,E011,LO001,CO6,13,v1.3.1(feb22-region),340.0768341,3374.223066,9514,106.1193236,100287,0.404013079,0.735354993,358070,40984,0.75152407,98,0,143,164,21
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,108,WE00036,C012,LO002,CO6,13,v1.3.1(feb22-region),340.9784992,20906.39988,7023,25.61214008,5343,0.34926125,0.645676458,535458,67415,0.727039727,130,0,96,94,2
OMAR_13FPS_170814143625_Ol_SCN5A_NKX2_5_Temp_21C,54,WE00066,F007,LO001,CO6,13,v1.3.1(feb22-region),341.63812,20743.60243,6936,19.92214216,4480,0.378851564,0.650137037,413257,62670,0.838091119,130,0,96,98,2
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,40,WE00052,E004,LO001,CO6,13,v1.3.1(feb22-region),342.0182146,50357.08486,5545,6.338456257,3789,0.411424824,0.766215488,319186,53902,0.834625789,130,0,96,95.1,0.9
F2_24FPS_210719155352_OlE_HR_IPF2_2x_BQ_21C,79,WE00079,G007,LO001,CO6,24,v1.3.1(feb22-region),342.1523064,31055.27795,3447,17.10864285,9029,0.434700071,0.611922511,531314,151000,0.935306063,240,0,90,90.9,0.9
OMAR_13FPS_170829142203_Ol_GIGYF1_CCDC141_Temp_28C,146,WE00077,G005,LO002,CO6,13,v1.3.1(feb22-region),342.2740345,3284.542862,2434,32.59182554,7055,0.515153566,0.793155117,107049,32141,0.94042728,130,0,162,163,1
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,157,WE00091,H006,LO002,CO6,13,v1.3.1(feb22-region),342.6028863,102003.7616,4019,7.204247783,3483,0.575280044,0.89684035,734860,111670,0.898233391,130,0,96,96.7,0.7
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,47,WE00047,D002,LO001,CO6,13,v1.3.1(feb22-region),343.3712147,59051.79385,11624,6.50955154,10035,0.497961642,0.851916637,384401,70100,0.892033723,130,0,96,95.8,0.2
F2_24FPS_210719155352_OlE_HR_IPF2_2x_BQ_21C,46,WE00046,D003,LO001,CO6,24,v1.3.1(feb22-region),343.4092199,59278.38267,1410,6.192211189,5137,0.360032224,0.570587959,367064,101799,0.866666667,240,0,96,94.6,1.4
F2_24FPS_210719170353_OlE_HR_IPF2_2x_BQ_28C,53,WE00053,E005,LO001,CO6,24,v1.3.1(feb22-region),343.4381758,4215.705151,2127,54.9951763,3067,0.316466399,0.427521849,231843,64334,0.508697696,240,0,150,152.9,2.9
