DATASET,Index,WellID,Well Name,Loop,Channel,fps,version,HROI Change Intensity,Harmonic Intensity,Heart size,Intensity/Harmonic Intensity (top 5 %),Movement detection max,SNR,SNR Top 5%,Signal Intensity Top 5%,Signal intensity,Signal regional prominence,Start frame(movement),Stop frame(movement),empty frames,ground truth,Heartrate (BPM),error
200313152204_OlE_HR_IPF0_28C_2x,96,WE00096,H001,LO001,CO1,23.81,v1.4(may22-region),926.485,0.378,5695.000,289.737,6205.000,0.741,0.985,109.000,17.000,0.980,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,104,WE00008,A008,LO002,CO1,23.79,v1.4(may22-region),562.455,0.028,1498.000,932.193,1809.000,0.605,0.703,26.000,6.000,0.999,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,105,WE00009,A009,LO002,CO1,23.8,v1.4(may22-region),621.820,0.166,3544.000,166.997,3753.000,0.403,0.548,28.000,4.000,0.873,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,106,WE00010,A010,LO002,CO1,23.77,v1.4(may22-region),349.690,0.052,1747.000,56.841,2406.000,0.491,0.630,3.000,1.000,0.998,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,109,WE00013,B012,LO002,CO1,23.79,v1.4(may22-region),478.089,0.146,1918.000,264.695,3855.000,0.583,0.811,39.000,5.000,0.998,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,110,WE00014,B011,LO002,CO1,23.8,v1.4(may22-region),220.260,0.029,908.000,38.984,1931.000,0.535,0.767,1.000,0.000,0.998,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,111,WE00015,B010,LO002,CO1,23.77,v1.4(may22-region),309.999,0.094,741.000,41.946,7697.000,0.445,0.870,4.000,1.000,0.991,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,120,WE00024,B001,LO002,CO1,23.8,v1.4(may22-region),328.786,0.050,1029.000,246.448,2155.000,0.521,0.631,12.000,2.000,0.985,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,123,WE00027,C003,LO002,CO1,23.81,v1.4(may22-region),563.716,0.115,5508.000,306.101,7331.000,0.492,0.625,35.000,5.000,0.991,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,131,WE00035,C011,LO002,CO1,23.82,v1.4(may22-region),589.970,0.112,8648.000,335.858,4752.000,0.640,0.888,38.000,6.000,0.965,0.000,239.000,0.000,155.000,155.000,0.000
